Version, Minutes, Miles, Minutes/Miles, Name, Town
V1 22,8,2.75,Walter,Bountiful
V1 51,22,2.31818,Chris,Centerville
V1 63,28,2.25,Stan,Clinton
V1 12,2,6,Mary,South Weber
V1 17,4,4.25,Shelly,West Point
V1 93,62,1.5,Kim,Cottonwood Heights
V1 45,15,3,Kelly,Murray
V1 18,6,3,George,Salt Lake City
V1 66,42,1.57143,Sam,South Jordan
V1 45,28,1.60714,Walter,West Jordan
V1 43,16,2.6875,Ann,American Fork
V1 77,43,1.7907,Laura,Lindon
V1 38,27,1.40741,Paul,Payson
V1 43,18,2.38889,Phillip,Pleasant Grove
V1 52,41,1.26829,Susan,Spanish Fork
V1 21,8,2.625,Hal,Harrisville
V1 8,3,2.66667,Olivia,Ogden
V1 19,5,3.8,Polly,Pleasant View
V1 7,2,3.5,Roy,Riverdale
V1 14,4,3.5,Scott,South Ogden
